"filename", "language", "JavaScript", "JSON", "Markdown", "HTML", "TypeScript", "JSON with Comments", "TypeScript JSX", "SVG", "YAML", "comment", "blank", "total"
"e:\dungeon-of-aurora-front\.eslintrc.cjs", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 46
"e:\dungeon-of-aurora-front\.lintstagedrc.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"e:\dungeon-of-aurora-front\CHANGELOG.md", "Markdown", 0, 0, 279, 0, 0, 0, 0, 0, 0, 0, 149, 428
"e:\dungeon-of-aurora-front\README.md", "Markdown", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 24, 63
"e:\dungeon-of-aurora-front\index.html", "HTML", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 4, 58
"e:\dungeon-of-aurora-front\package.json", "JSON", 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 1, 72
"e:\dungeon-of-aurora-front\pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 6366, 0, 948, 7314
"e:\dungeon-of-aurora-front\public\vite.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"e:\dungeon-of-aurora-front\src\assets\images\index.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 3, 8
"e:\dungeon-of-aurora-front\src\assets\index.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 4, 10
"e:\dungeon-of-aurora-front\src\assets\svgs\abjuration_icon.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"e:\dungeon-of-aurora-front\src\assets\svgs\accessories_icon.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"e:\dungeon-of-aurora-front\src\assets\svgs\adventure_icon.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"e:\dungeon-of-aurora-front\src\assets\svgs\armor_icon.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 1, 12
